,name,Lat,Lng,temp,temp_max,humidity,clouds,speed
135,Mankono,8.0586,-6.1897,68.81,68.81,89,49,4.23
136,Kruisfontein,-34.0033,24.7314,68.4,68.4,28,21,11.16
137,Santo André,-23.6639,-46.5383,61.88,64.13,89,100,8.05
138,Bambous Virieux,-20.3428,57.7575,70.05,70.05,64,20,8.05
139,Safonovo,55.15,33.2167,59.83,59.83,64,5,4.65
140,Divnogorsk,55.9594,92.3619,57.69,57.69,94,74,3.6
141,Alofi,-19.0595,-169.9187,80.49,80.49,65,75,13.8
142,Faya,18.3851,42.4509,66.72,66.72,43,90,3.8
143,Chitungwiza,-18.0127,31.0756,50.92,50.92,77,43,3.53
144,Eskişehir,39.7767,30.5206,60.71,60.71,82,40,5.75
145,Port Moresby,-9.4431,147.1797,80.83,80.83,74,92,1.14
146,Picota,-6.9197,-76.3304,79.29,79.29,67,29,1.43
147,Beyneu,45.3167,55.2,72.01,72.01,24,0,6.17
148,Rome,43.2128,-75.4557,69.89,72.73,79,0,3.44
149,Nanortalik,60.1432,-45.2371,42.66,42.66,97,86,3.18
150,Grindavik,63.8424,-22.4338,50.47,51.75,87,75,10.36
151,Horsham,51.064,-0.3272,65.19,70.02,87,0,2.3
152,Elk Point,42.6833,-96.6836,80.76,80.76,30,77,6.85
153,Usinsk,65.9939,57.5281,43.63,43.63,93,68,10.67
154,Mtambile,-5.3833,39.7,74.16,74.16,81,17,12.08
155,Jiblah,13.9216,44.1467,65.7,65.7,59,97,2.24
156,Upernavik,72.7868,-56.1549,40.86,40.86,82,64,10.4
157,Bambanglipuro,-7.95,110.2833,76.33,76.33,80,86,9.13
158,Souillac,-20.5167,57.5167,70.18,70.18,64,20,8.05
159,Huarmey,-10.0681,-78.1522,62.44,62.44,85,7,8.28
160,Kirkuk,35.4681,44.3922,88.99,88.99,22,0,5.79
161,Nyandoma,61.669,40.1991,62.55,62.55,71,79,5.82
162,Ternate,0.8,127.4,80.71,80.71,75,65,3.89
163,Nador,35.174,-2.9287,77.25,77.25,83,0,2.3
164,Mayor Pablo Lagerenza,-19.9309,-60.7718,80.87,80.87,32,18,5.26
165,Sitka,57.0531,-135.33,62.49,62.49,82,100,4.61
166,Sola,-13.8833,167.55,81.27,81.27,83,75,0.0
167,Swan Hill,-35.3378,143.5544,52.9,52.9,79,100,9.24
168,Lagoa,39.05,-27.9833,72.54,72.54,78,94,11.83
169,Farsund,58.0948,6.8047,66.06,66.94,100,42,12.97
170,Honningsvåg,70.9821,25.9704,47.95,47.95,93,100,0.0
171,Szamosszeg,48.0456,22.3658,67.6,67.6,86,45,5.14
172,Russellville,35.2784,-93.1338,82.67,83.98,63,0,3.44
173,Saint-François,46.4154,3.9054,58.44,60.67,82,0,3.44
174,Ruwi,23.5996,58.5507,83.89,83.89,59,66,4.29
175,Bichena,10.45,38.2,50.85,50.85,88,95,5.48
176,Catabola,-12.15,17.2833,61.41,61.41,34,32,3.89
177,Boca do Acre,-8.7522,-67.3978,80.44,80.44,40,36,1.88
178,Katsuura,35.1333,140.3,78.82,78.82,81,92,10.02
179,Port Alfred,-33.5906,26.891,74.41,74.41,32,1,18.66
180,Bosaso,11.2842,49.1816,88.77,88.77,43,12,12.75
181,Orlik,52.5178,99.825,42.4,42.4,88,97,3.02
182,Ribeira Grande,38.5167,-28.7,73.58,73.58,77,80,6.24
